Division,GameDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeShotsHitFrame,AwayShotsHitFrame,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeOffSides,AwayOffSides,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards,HomeBookingPoints_Y5_R10,AwayBookingPoints_Y5_R10
,09/08/2019,Liverpool FC,Norwich City,,,,,,,,,,,,,,,,,,,,,,,,
,10/08/2019,West Ham United,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,
,10/08/2019,AFC Bournemouth,Sheffield United,,,,,,,,,,,,,,,,,,,,,,,,
,10/08/2019,Burnley FC,Southampton FC,,,,,,,,,,,,,,,,,,,,,,,,
,10/08/2019,Crystal Palace,Everton FC,,,,,,,,,,,,,,,,,,,,,,,,
,10/08/2019,Watford FC,Brighton & Hove Albion,,,,,,,,,,,,,,,,,,,,,,,,
,10/08/2019,Tottenham Hotspur,Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,
,11/08/2019,Leicester City,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,,,,,
,11/08/2019,Newcastle United,Arsenal FC,,,,,,,,,,,,,,,,,,,,,,,,
,11/08/2019,Manchester United,Chelsea FC,,,,,,,,,,,,,,,,,,,,,,,,
,17/08/2019,Arsenal FC,Burnley FC,,,,,,,,,,,,,,,,,,,,,,,,
,17/08/2019,Aston Villa,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,
,17/08/2019,Brighton & Hove Albion,West Ham United,,,,,,,,,,,,,,,,,,,,,,,,
,17/08/2019,Everton FC,Watford FC,,,,,,,,,,,,,,,,,,,,,,,,
,17/08/2019,Norwich City,Newcastle United,,,,,,,,,,,,,,,,,,,,,,,,
,17/08/2019,Southampton FC,Liverpool FC,,,,,,,,,,,,,,,,,,,,,,,,
,17/08/2019,Manchester City,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,,,,
,18/08/2019,Sheffield United,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,
,18/08/2019,Chelsea FC,Leicester City,,,,,,,,,,,,,,,,,,,,,,,,
,19/08/2019,Wolverhampton Wanderers,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,
,23/08/2019,Aston Villa,Everton FC,,,,,,,,,,,,,,,,,,,,,,,,
,24/08/2019,Norwich City,Chelsea FC,,,,,,,,,,,,,,,,,,,,,,,,
,24/08/2019,Brighton & Hove Albion,Southampton FC,,,,,,,,,,,,,,,,,,,,,,,,
,24/08/2019,Manchester United,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,
,24/08/2019,Sheffield United,Leicester City,,,,,,,,,,,,,,,,,,,,,,,,
,24/08/2019,Watford FC,West Ham United,,,,,,,,,,,,,,,,,,,,,,,,
,24/08/2019,Liverpool FC,Arsenal FC,,,,,,,,,,,,,,,,,,,,,,,,
,25/08/2019,AFC Bournemouth,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,
,25/08/2019,Tottenham Hotspur,Newcastle United,,,,,,,,,,,,,,,,,,,,,,,,
,25/08/2019,Wolverhampton Wanderers,Burnley FC,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2019,Southampton FC,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2019,Chelsea FC,Sheffield United,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2019,Crystal Palace,Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2019,Leicester City,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2019,Manchester City,Brighton & Hove Albion,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2019,Newcastle United,Watford FC,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2019,West Ham United,Norwich City,,,,,,,,,,,,,,,,,,,,,,,,
,31/08/2019,Burnley FC,Liverpool FC,,,,,,,,,,,,,,,,,,,,,,,,
,01/09/2019,Everton FC,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,,,,,
,01/09/2019,Arsenal FC,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,,,,
,14/09/2019,Liverpool FC,Newcastle United,,,,,,,,,,,,,,,,,,,,,,,,
,14/09/2019,Brighton & Hove Albion,Burnley FC,,,,,,,,,,,,,,,,,,,,,,,,
,14/09/2019,Manchester United,Leicester City,,,,,,,,,,,,,,,,,,,,,,,,
,14/09/2019,Sheffield United,Southampton FC,,,,,,,,,,,,,,,,,,,,,,,,
,14/09/2019,Tottenham Hotspur,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,
,14/09/2019,Wolverhampton Wanderers,Chelsea FC,,,,,,,,,,,,,,,,,,,,,,,,
,14/09/2019,Norwich City,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,
,15/09/2019,AFC Bournemouth,Everton FC,,,,,,,,,,,,,,,,,,,,,,,,
,15/09/2019,Watford FC,Arsenal FC,,,,,,,,,,,,,,,,,,,,,,,,
,16/09/2019,Aston Villa,West Ham United,,,,,,,,,,,,,,,,,,,,,,,,
,20/09/2019,Southampton FC,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,
,21/09/2019,Leicester City,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,,,,
,21/09/2019,Burnley FC,Norwich City,,,,,,,,,,,,,,,,,,,,,,,,
,21/09/2019,Everton FC,Sheffield United,,,,,,,,,,,,,,,,,,,,,,,,
,21/09/2019,Manchester City,Watford FC,,,,,,,,,,,,,,,,,,,,,,,,
,21/09/2019,Newcastle United,Brighton & Hove Albion,,,,,,,,,,,,,,,,,,,,,,,,
,22/09/2019,Crystal Palace,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,,,,,
,22/09/2019,West Ham United,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,
,22/09/2019,Arsenal FC,Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,
,22/09/2019,Chelsea FC,Liverpool FC,,,,,,,,,,,,,,,,,,,,,,,,
,7. Round,,,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/2019,Sheffield United,Liverpool FC,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/2019,AFC Bournemouth,West Ham United,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/2019,Aston Villa,Burnley FC,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/2019,Chelsea FC,Brighton & Hove Albion,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/2019,Crystal Palace,Norwich City,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/2019,Tottenham Hotspur,Southampton FC,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/2019,Wolverhampton Wanderers,Watford FC,,,,,,,,,,,,,,,,,,,,,,,,
,28/09/2019,Everton FC,Manchester City,,,,,,,,,,,,,,,,,,,,,,,,
,29/09/2019,Leicester City,Newcastle United,,,,,,,,,,,,,,,,,,,,,,,,
,30/09/2019,Manchester United,Arsenal FC,,,,,,,,,,,,,,,,,,,,,,,,
,05/10/2019,Brighton & Hove Albion,Tottenham Hotspur,,,,,,,,,,,,,,,,,,,,,,,,
,05/10/2019,Burnley FC,Everton FC,,,,,,,,,,,,,,,,,,,,,,,,
,05/10/2019,Liverpool FC,Leicester City,,,,,,,,,,,,,,,,,,,,,,,,
,05/10/2019,Norwich City,Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,
,05/10/2019,Watford FC,Sheffield United,,,,,,,,,,,,,,,,,,,,,,,,
,05/10/2019,West Ham United,Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,
,06/10/2019,Arsenal FC,AFC Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,
,06/10/2019,Manchester City,Wolverhampton Wanderers,,,,,,,,,,,,,,,,,,,,,,,,
,06/10/2019,Southampton FC,Chelsea FC,,,,,,,,,,,,,,,,,,,,,,,,
,06/10/2019,Newcastle United,Manchester United,,,,,,,,,,,,,,,,,,,,,,,,
,19/10/2019,Everton FC,West Ham United,,,,,,,,,,,,,,,,,,,,,,,,
,19/10/2019,AFC Bournemouth,Norwich City,,,,,,,,,,,,,,,,,,,,,,,,
,19/10/2019,Aston Villa,Brighton & Hove Albion,,,,,,,,,,,,,,,,,,,,,,,,
,19/10/2019,Chelsea FC,Newcastle United,,,,,,,,,,,,,,,,,,,,,,,,
,19/10/2019,Leicester City,Burnley FC,,,,,,,,,,,,,,,,,,,,,,,,
,19/10/2019,Tottenham Hotspur,Watford FC,,,,,,,,,,,,,,,,,,,,,,,,
